# Visitor arrivals by country of residence all travel mode (Qrtly-Mar/Jun/Sep/Dec),,,,,,,,,,,,
Time,Australia,China PR,Japan,Rep Korea,Germany,UK,Canada,USA,Year,Quarter,Time2,Time3
2012Q2,237520,40816,11104,9568,6576,23184,6480,32080,2012,Q2,2012.25,2012.375
2012Q3,287296,40528,17648,10128,8720,20944,5872,26832,2012,Q3,2012.50,2012.625
2012Q4,334416,57856,20464,14400,22752,63424,14144,53696,2012,Q4,2012.75,2012.875
2013Q1,311504,71040,26256,16816,26752,81920,20576,75424,2013,Q1,2013.00,2013.125
2013Q2,250640,53296,10592,9360,6816,22720,6368,33504,2013,Q2,2013.25,2013.375
2013Q3,299152,54144,17008,10224,9776,22816,5872,28848,2013,Q3,2013.50,2013.625
2013Q4,356720,50448,20704,14592,26464,64176,15376,63648,2013,Q4,2013.75,2013.875
2014Q1,314640,81824,25040,18768,31168,82160,20560,81664,2014,Q1,2014.00,2014.125
2014Q2,265296,54080,12768,9488,8400,25232,6624,37552,2014,Q2,2014.25,2014.375
#,Table information:,,,,,,,,,,,
#,Units:,,,,,,,,,,,
#,"Number, Magnitude = Units",,,,,,,,,,,
#,,,,,,,,,,,,
#,Footnotes:,,,,,,,,,,,
#,Visitor arrivals are overseas residents arriving in New Zealand for a stay of less than 12 months.,,,,,,,,,,,
#,"For arrival series, the country of residence is the country where a person arriving in New Zealand last lived for 12 months or more (country of last permanent residence).",,,,,,,,,,,
#,The United Kingdom also includes the Channel Islands and the Isle of Man.,,,,,,,,,,,
#,Cruise passengers have only been collected separately since September 1997.,,,,,,,,,,,
#,"Cruise passengers are only recorded as arrivals or departures if they begin or end their cruise in New Zealand. Otherwise, they are regarded as being in transit, even if they leave the ship for periods while it is in New Zealand.",,,,,,,,,,,
#, ,,,,,,,,,,,
#,Symbols:,,,,,,,,,,,
#,.. figure not available,,,,,,,,,,,
#,C: Confidential,,,,,,,,,,,
#,E: Early Estimate,,,,,,,,,,,
#,P: Provisional,,,,,,,,,,,
#,R: Revised,,,,,,,,,,,
#,S: Suppressed,,,,,,,,,,,
#,,,,,,,,,,,,
#,Status flags are not displayed,,,,,,,,,,,
#,,,,,,,,,,,,
#,Table reference: ,,,,,,,,,,,
#,ITM116AA,,,,,,,,,,,
#,,,,,,,,,,,,
#,Last updated:,,,,,,,,,,,
#,21 July 2014 10:45am,,,,,,,,,,,
#,,,,,,,,,,,,
#,Source: Statistics New Zealand,,,,,,,,,,,
#,Contact: Information Centre,,,,,,,,,,,
#,Telephone: 0508 525 525,,,,,,,,,,,
#,Email:info@stats.govt.nz,,,,,,,,,,,
